Origin,Origin Name,Origin Country,Origin City,Destination,Destination Name,Destination Country,Destination City,Total Time,Aircraft Registration,Aircraft Description,Distance Flown
LFPG,Charles-de-Gaulle,France,Paris,EGLL,Heathrow,United Kingdom,London,01:02:26,N738PM,BOEING B738,348.3 Km
KSJC,Mineta San Jose Intl,United States,San Jose,KNUQ,Moffett Federal AFLD,United States,Mountain View,00:05:29,N700MS,Cessna C172,12.1 Km
KSTC,St Cloud Regl,United States,St Cloud,MN97,Thens Private Airstrip,United States,St Cloud,00:09:10,N700MS,Cessna C172,12.3 Km
LFAT,Paris-Plage,France,Le Touquet,EGMH,Manston,United Kingdom,Manston,00:39:34,N700MS,Cessna C172,94.2 Km
ETSA,Landsberg AB,Germany,Landsberg,LOWI,Innsbruck,Austria,Innsbruck,00:23:05,N71FS,BEECH BE58,95.9 Km
LOWI,Innsbruck,Austria,Innsbruck,LOWG,Graz,Austria,Graz,01:14:34,N71FS,BEECH BE58,312.1 Km
LSGG,Geneva,Switzerland,Geneva,LFML,Marseille-Provence,France,Marseille-Provence,00:40:53,N738PM,BOEING B738,319.3 Km
LSGG,Geneva,Switzerland,Geneva,LFML,Marseille-Provence,France,Marseille-Provence,00:47:22,N738PM,BOEING B738,319.3 Km
YSRN,Strahan,Australia,Strahan,YQNS,Queenstown,Australia,Queenstown,00:08:40,HB-MES,Cessna C172,21.7 Km
EBCI,Brussels South,Belgium,Charleroi,EBFS,Florennes AB,Belgium,Florennes,00:11:51,HB-MES,Cessna C172,27.7 Km
LFAT,Paris-Plage,France,Le Touquet,EGMH,Manston,United Kingdom,Manston,00:29:38,N71FS,BEECH BE58,94.2 Km
EGMH,Manston,United Kingdom,Manston,LFAT,Paris-Plage,France,Le Touquet,00:32:58,N71FS,BEECH BE58,94.2 Km
EBBR,Brussels National,Belgium,Brussels,EGLL,Heathrow,United Kingdom,London,01:02:18,F-MSAB,AIRBUS A321,351.5 Km
EGSH,Norwich,United Kingdom,Norwich,EGMC,Southend,United Kingdom,Southend,00:38:06,N72163,MAULE M7,129.2 Km
EGMC,Southend,United Kingdom,Southend,EGSG,Stapleford,United Kingdom,Stapleford,00:15:22,N72163,MAULE M7,38.6 Km
EGSS,Stansted,United Kingdom,London,EGSG,Stapleford,United Kingdom,Stapleford,00:15:32,G-MONN,Cessna C172,26.1 Km
ID67,Lower Loon Creek,United States,Challis,U54,Bernard USFS,United States,Bernard,00:10:25,G-MONN,Cessna C172,19.9 Km
LSGG,Geneva,Switzerland,Geneva,LFML,Marseille-Provence,France,Marseille-Provence,01:07:47,N738PM,BOEING B738,319.3 Km
LSGG,Geneva,Switzerland,Geneva,LFML,Marseille-Provence,France,Marseille-Provence,00:53:08,N738PM,BOEING B738,319.3 Km
EGTG,Filton,United Kingdom,Bristol,EGGD,Bristol,United Kingdom,Bristol,00:19:32,G-MONN,Cessna C172,17.6 Km
LFPG,Charles-de-Gaulle,France,Paris,EBBR,Brussels National,Belgium,Brussels,00:40:58,N738PM,BOEING B738,252.1 Km
EGDY,Yeovilton,United Kingdom,Yeovilton,EGHA,Compton-Abbas,United Kingdom,Compton-Abbas,00:14:00,N332,AGUSTA EH10,34.4 Km
EGSQ,Clacton,United Kingdom,Clacton,EGSL,Andrewsfield,United Kingdom,Andrewsfield,00:12:24,N350KA,BEECH B350,48.5 Km
EGDY,Yeovilton,United Kingdom,Yeovilton,EGHA,Compton-Abbas,United Kingdom,Compton-Abbas,00:30:17,N350KA,BEECH B350,34.4 Km
LPSC,Santa Cruz,Portugal,Santa Cruz,EGGD,Bristol,United Kingdom,Bristol,02:13:25,N738PM,BOEING B738,1457.7 Km
LFMN,Nice-Cote dAzur,France,Nice-Cote dAzur,LOWG,Graz,Austria,Graz,01:23:18,N739PM,BOEING B739,742.7 Km
EGLC,London City,United Kingdom,London,EGSG,Stapleford,United Kingdom,Stapleford,00:09:29,G-MONN,Cessna C172,18.1 Km
FANC,Newcastle,South Africa,Newcastle,FAUR,Utrecht,South Africa,Utrecht,00:14:50,G-MONN,Cessna C172,35.8 Km
LEVX,Vigo,Spain,Vigo,LPCH,Chaves,Portugal,Chaves,00:34:31,G-MONN,Cessna C172,111.5 Km
LEMD,Barajas,Spain,Madrid,EGLL,Heathrow,United Kingdom,London,00:00:00,,,1246.3 Km
LEAL,Alicante,Spain,Alicante,EGKK,Gatwick,United Kingdom,London,00:00:00,,,1430 Km
CA35,San Rafael,United States,San Rafael,KSFO,San Francisco Intl,United States,San Francisco,00:00:00,,,46 Km
