Origin,Origin Name,Origin Country,Origin City,Destination,Destination Name,Destination Country,Destination City,Total Time,Aircraft Registration,Aircraft Description,Distance Flown
EGDG,Cornwall Airport Newquay,United Kingdom,Newquay,EGHY,Truro,United Kingdom,Truro,00:17:22,G-BAFM,Cessna C172,24.2 Km
EGAA,Aldergrove,United Kingdom,Belfast,EGAC,Belfast City,United Kingdom,Belfast,00:27:58,G-BAFM,Cessna C172,22.6 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGMD,Lydd,United Kingdom,Lydd,00:59:24,G-BAFM,Cessna C172,95 Km
LFQA,Prunay,France,Reims,LFQA,Prunay,France,Reims,01:20:09,N350KA,BEECH B350,0 Km
TE68,nuggs Flying M,United States,Pottsboro,KSWI,Sherman Mun,United States,Sherman,00:17:03,N105MM,EXTRA E300,28.2 Km
PHBK,Barking Sands Pmrf,United States,Kauai,PHLI,Lihue,United States,Lihue,00:31:42,G-BAFM,Cessna C172,53.2 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGLC,London City,United Kingdom,London,00:09:29,G-BAFM,Cessna C172,18.1 Km
EGXC,Coningsby AB,United Kingdom,Coningsby,EGXC,Coningsby AB,United Kingdom,Coningsby,00:08:59,G-BAFM,Cessna C172,0 Km
EGHY,Truro,United Kingdom,Truro,EGLA,Bodmin,United Kingdom,Bodmin,00:33:03,G-BAFM,Cessna C172,47.3 Km
EGGD,Bristol,United Kingdom,Bristol,EGBB,Birmingham,United Kingdom,Birmingham,00:54:07,G-BAFM,Cessna C172,136.7 Km
YMLT,Launceston,Australia,Launceston,YMLT,Launceston,Australia,Launceston,00:07:39,G-BAFM,Cessna C172,0 Km
YMLT,Launceston,Australia,Launceston,YMLT,Launceston,Australia,Launceston,00:07:26,N71FS,BEECH BE58,0 Km
YMLT,Launceston,Australia,Launceston,YMHB,Hobart,Australia,Hobart,00:49:29,G-BAFM,Cessna C172,147 Km
YQNS,Queenstown,Australia,Queenstown,YSRN,Strahan,Australia,Strahan,00:25:51,G-BAFM,Cessna C172,21.7 Km
YDPO,Devonport,Australia,Devonport,YMHB,Hobart,Australia,Hobart,00:19:46,G-BAFM,Cessna C172,205.6 Km
KHQM,Bowerman,United States,Hoquiam,KHQM,Bowerman,United States,Hoquiam,00:09:01,,Ultralight trike,0 Km
KOAK,Metro Oakland Intl,United States,Oakland,KSFO,San Francisco Intl,United States,San Francisco,00:14:16,N058BE,BEECH BE58,17.7 Km
KSFO,San Francisco Intl,United States,San Francisco,KSFO,San Francisco Intl,United States,San Francisco,00:26:56,C-WLPE,BOEING B763,0 Km
KJFK,Kennedy Intl,United States,New York,KJFK,Kennedy Intl,United States,New York,00:05:57,N747,BOEING B744,0 Km
KJFK,Kennedy Intl,United States,New York,KJFK,Kennedy Intl,United States,New York,00:08:07,N747,BOEING B744,0 Km
KJFK,Kennedy Intl,United States,New York,KJFK,Kennedy Intl,United States,New York,00:05:30,N737T,BOEING B738,0 Km
KJFK,Kennedy Intl,United States,New York,KJFK,Kennedy Intl,United States,New York,00:23:45,BMI245B,BOEING B735,0 Km
EGSH,Norwich,United Kingdom,Norwich,EGSH,Norwich,United Kingdom,Norwich,00:09:38,G-BAFM,Cessna C172,20.3 Km
EIBR,Birr,Ireland,Birr,EGNX,East Midlands,United Kingdom,Nottingham,00:25:58,G-BAFM,Cessna C172,463.3 Km
EGXT,Wittering AB,United Kingdom,Wittering,EGXT,Wittering AB,United Kingdom,Wittering,00:22:12,G-BAFM,Cessna C172,28 Km
KJFK,Kennedy Intl,United States,New York,KJFK,Kennedy Intl,United States,New York,00:07:01,N747,BOEING B744,0 Km
KJFK,Kennedy Intl,United States,New York,KJFK,Kennedy Intl,United States,New York,00:14:51,N747,BOEING B744,0 Km
KJFK,Kennedy Intl,United States,New York,KJFK,Kennedy Intl,United States,New York,00:04:02,N747,BOEING B744,0 Km
KJFK,Kennedy Intl,United States,New York,KJFK,Kennedy Intl,United States,New York,00:07:19,N747,BOEING B744,0 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGSG,Stapleford,United Kingdom,Stapleford,00:04:03,G-BAFM,Cessna C172,0 Km
EGLL,Heathrow,United Kingdom,London,LSZH,Zurich,Switzerland,Zurich,01:32:28,C-FXCA,BOEING B763,790.4 Km
EGBB,Birmingham,United Kingdom,Birmingham,EGTK,Kidlington,United Kingdom,Oxford,00:44:36,G-BAFM,Cessna C172,75.1 Km
EGBB,Birmingham,United Kingdom,Birmingham,EGLJ,Chalgrove,United Kingdom,Chalgrove,00:44:40,G-BAFM,Cessna C172,98.7 Km
2TE5,Piano Ranch,United States,Flatonia,KVCT,Victoria Regl,United States,Victoria,00:46:33,G-BAFM,Cessna C172,99.5 Km
KDCA,Ronald Reagan Washington Natl,United States,Washington,KJFK,Kennedy Intl,United States,New York,01:09:57,PH-BZK,BOEING B763,342.6 Km
KORD,Chicago-OHare Intl,United States,Chicago,KATL,Hartsfield - Jackson Atlanta I,United States,Atlanta,02:04:11,VH-OGM,BOEING B763,974.6 Km
KMSP,Minneapolis-St Paul Intl,United States,Minneapolis,KORD,Chicago-OHare Intl,United States,Chicago,01:26:03,PH-BZK,BOEING B763,537.5 Km
EGBB,Birmingham,United Kingdom,Birmingham,EGBO,Wolverhampton,United Kingdom,Wolverhampton,00:27:24,G-BAFM,Cessna C172,35.4 Km
EGBB,Birmingham,United Kingdom,Birmingham,EGBM,Tatenhill,United Kingdom,Tatenhill,00:31:08,G-BAFM,Cessna C172,57.1 Km
EBFS,Florennes AB,Belgium,Florennes,EBCI,Brussels South,Belgium,Charleroi,00:36:15,G-BAFM,Cessna C172,51.3 Km
EGBE,Coventry,United Kingdom,Coventry,EGBG,Leicester,United Kingdom,Leicester,00:25:58,G-BAFM,Cessna C172,42 Km
EGBK,Sywell,United Kingdom,Northampton,EGWE,Henlow AB,United Kingdom,Henlow,00:38:07,G-BAFM,Cessna C172,50.9 Km
EGSH,Norwich,United Kingdom,Norwich,EGSP,Sibson,United Kingdom,Peterborough,00:58:59,G-BAFM,Cessna C172,152.6 Km
KBHM,Birmingham Intl,United States,Birmingham,KJFX,Walker Co-Bevill,United States,Jasper,00:38:57,N72163,MAULE M7,64.1 Km
YMHB,Hobart,Australia,Hobart,YMHB,Hobart,Australia,Hobart,00:20:57,G-BAFM,Cessna C172,6.2 Km
KJFK,Kennedy Intl,United States,New York,KJFK,Kennedy Intl,United States,New York,00:25:23,N737W,BOEING B738,0 Km
EGBB,Birmingham,United Kingdom,Birmingham,EGBE,Coventry,United Kingdom,Coventry,00:16:45,G-BAFM,Cessna C172,20.6 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGMC,Southend,United Kingdom,Southend,00:26:10,G-BAFM,Cessna C172,38.6 Km
EGBN,Nottingham,United Kingdom,Nottingham,EGNE,Gamston,United Kingdom,Retford,00:33:45,G-BAFM,Cessna C172,71.3 Km
KJFK,Kennedy Intl,United States,New York,KJFK,Kennedy Intl,United States,New York,00:25:10,N158MC,BOEING B735,0 Km
EGSH,Norwich,United Kingdom,Norwich,EGSA,Shipdham,United Kingdom,Shipdham,00:21:53,G-BAFM,Cessna C172,42.6 Km
EDRZ,Zweibrucken,Germany,Zweibrucken,EDRF,Bad Durkheim,Germany,Bad Durkheim,00:41:54,G-BAFM,Cessna C172,73.1 Km
4CA2,Funny Farm,United States,Brentwood,KDVO,Gnoss,United States,Novato,00:58:56,G-BAFM,Cessna C172,131.5 Km
KJFK,Kennedy Intl,United States,New York,KJFK,Kennedy Intl,United States,New York,00:04:29,JA-0315,JetRanger helicopter,0 Km
KRHV,Reid-Hillview,United States,San Jose,KSFO,San Francisco Intl,United States,San Francisco,00:49:53,G-BAFM,Cessna C172,118.3 Km
KDUG,Bisbee Douglas Intl,United States,Douglas Bisbee,KDUG,Bisbee Douglas Intl,United States,Douglas Bisbee,00:04:18,G-BAFM,Cessna C172,0 Km
KDUG,Bisbee Douglas Intl,United States,Douglas Bisbee,MM75,Agua Prieta Southwest,Mexico,Agua Prieta Southwest,00:31:03,G-BAFM,Cessna C172,57.2 Km
YWYY,Wynyard,Australia,Wynyard,YFLI,Flinders I,Australia,Flinders I,01:09:56,N71FS,BEECH BE58,216.5 Km
YPID,Phillip I,Australia,Phillip I (Newhaven),YPID,Phillip I,Australia,Phillip I (Newhaven),00:04:42,G-BAFM,Cessna C172,0 Km
YPID,Phillip I,Australia,Phillip I (Newhaven),YMML,Melbourne Intl,Australia,Melbourne,00:45:28,G-BAFM,Cessna C172,104.5 Km
TFFF,Le Lamentin,Martinique,Ft De France,TLPL,Hewanorra Intl,Saint Lucia,Vieuxfort,00:38:44,N123GM,Mooney M20T,95.3 Km
EDFH,Frankfurt-Hahn,Germany,Frankfurt-Hahn,EDRV,Wershofen-Eifel,Germany,Wershofen-Eifel,00:13:51,G-BAFM,Cessna C172,65.5 Km
LEBL,El Prat,Spain,Barcelona,EGKK,Gatwick,United Kingdom,London,02:13:28,C-WLPE,BOEING B763,1108.7 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGLC,London City,United Kingdom,London,00:18:27,G-BAFM,Cessna C172,18.1 Km
LFML,Marseille-Provence,France,Marseille-Provence,LSGG,Geneva,Switzerland,Geneva,01:07:43,N737W,BOEING B738,319.3 Km
KEWR,Newark Liberty Intl,United States,Newark,KJFK,Kennedy Intl,United States,New York,00:31:38,N737W,BOEING B738,32.8 Km
KRZZ,Halifax Co,United States,Roanoke Rapids,KEMV,Emporia-Greensville Regl,United States,Emporia,00:36:31,N71FS,BEECH BE58,67.2 Km
KRZZ,Halifax Co,United States,Roanoke Rapids,KAKQ,Wakefield Mun,United States,Wakefield,00:36:43,G-BAFM,Cessna C172,87.7 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGLC,London City,United Kingdom,London,00:10:52,N68PW,EXTRA E300,18.1 Km
EICK,Cork,Ireland,Cork,EICK,Cork,Ireland,Cork,00:21:47,G-BAFM,Cessna C172,0 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGLG,Panshanger,United Kingdom,Panshanger,00:29:02,G-BAFM,Cessna C172,27.3 Km
LSZH,Zurich,Switzerland,Zurich,LSZH,Zurich,Switzerland,Zurich,00:07:24,G-BAFM,Cessna C172,0 Km
LSZH,Zurich,Switzerland,Zurich,EDTL,Lahr,Germany,Lahr,01:06:35,G-BAFM,Cessna C172,114.7 Km
CYGP,Gaspe,Canada,Gaspe,CYGP,Gaspe,Canada,Gaspe,00:18:24,G-BAFM,Cessna C172,0 Km
KIND,Indianapolis Intl,United States,Indianapolis,KJFK,Kennedy Intl,United States,New York,02:09:07,C-WLPE,BOEING B763,1069.5 Km
KJFK,Kennedy Intl,United States,New York,KJFK,Kennedy Intl,United States,New York,00:06:40,G-BAFM,Cessna C172,0 Km
KJFK,Kennedy Intl,United States,New York,KJFK,Kennedy Intl,United States,New York,00:05:51,G-BAFM,Cessna C172,0 Km
KJFK,Kennedy Intl,United States,New York,KJFK,Kennedy Intl,United States,New York,00:13:24,G-XLEA,AIRBUS A380,0 Km
KJFK,Kennedy Intl,United States,New York,KJFK,Kennedy Intl,United States,New York,00:13:03,G-BAFM,Cessna C172,0 Km
KJFK,Kennedy Intl,United States,New York,KJFK,Kennedy Intl,United States,New York,00:15:13,C-WLPE,BOEING B763,0 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGLC,London City,United Kingdom,London,00:12:48,G-BAFM,Cessna C172,18.1 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGLC,London City,United Kingdom,London,00:14:19,G-BAFM,Cessna C172,18.1 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGMC,Southend,United Kingdom,Southend,00:19:12,G-BAFM,Cessna C172,38.6 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGLC,London City,United Kingdom,London,00:28:19,G-BAFM,Cessna C172,18.1 Km
KJFK,Kennedy Intl,United States,New York,KJFK,Kennedy Intl,United States,New York,00:23:05,C-WLPE,BOEING B763,0 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGSG,Stapleford,United Kingdom,Stapleford,00:06:34,G-BAFM,Cessna C172,0 Km
KHQZ,Mesquite Metro,United States,Mesquite,KDAL,Dallas Love,United States,Dallas,00:18:14,N123GM,Mooney M20T,32.1 Km
YPID,Phillip I,Australia,Phillip I (Newhaven),YMML,Melbourne Intl,Australia,Melbourne,01:05:44,NC77583,Piper J3,104.5 Km
14FA,Burrs Strip,United States,Miami,KMIA,Miami Intl,United States,Miami,00:24:56,G-BAFM,Cessna C172,27 Km
EGJJ,Jersey,United Kingdom,Jersey,EGJB,Guernsey,United Kingdom,Guernsey,00:26:11,G-BAFM,Cessna C172,38.8 Km
KBOS,Logan Intl,United States,Boston,KBOS,Logan Intl,United States,Boston,00:15:17,N1000B,Mooney M20T,0 Km
YMLT,Launceston,Australia,Launceston,YMLT,Launceston,Australia,Launceston,00:04:55,N1000B,Mooney M20T,0 Km
YMLT,Launceston,Australia,Launceston,YMLT,Launceston,Australia,Launceston,00:05:09,G-BAFM,Cessna C172,0 Km
YFLI,Flinders I,Australia,Flinders I,YWYY,Wynyard,Australia,Wynyard,01:11:39,N1000B,Mooney M20T,216.5 Km
EBBR,Brussels National,Belgium,Brussels,EGLL,Heathrow,United Kingdom,London,01:26:32,C-WLPE,BOEING B763,351.5 Km
EHAM,Schiphol,Netherlands,Amsterdam,EGSS,Stansted,United Kingdom,London,01:16:40,JA-068X,BOMBARDIER LJ45,313.9 Km
EGGD,Bristol,United Kingdom,Bristol,LPPT,Lisbon,Portugal,Lisbon,02:46:01,C-WLPE,BOEING B763,1488 Km
EGDW,Merryfield Navy,United Kingdom,Merryfield,EGTU,Dunkeswell,United Kingdom,Dunkeswell,00:26:20,G-BAFM,Cessna C172,23.6 Km
LPCH,Chaves,Portugal,Chaves,LEVX,Vigo,Spain,Vigo,00:49:43,G-BAFM,Cessna C172,111.5 Km
EGPD,Dyce,United Kingdom,Aberdeen,EGPD,Dyce,United Kingdom,Aberdeen,00:05:53,G-BAFM,Cessna C172,0 Km
EPSD,Dabie,Poland,Szczecin,EPSC,Goleniow,Poland,Szczecin,00:22:52,G-BAFM,Cessna C172,27.9 Km
EGCB,Barton,United Kingdom,Manchester,EGXG,Church Fenton AB,United Kingdom,Church Fenton,00:39:31,G-BAFM,Cessna C172,90.6 Km
LSZA,Lugano,Switzerland,Lugano,LSZA,Lugano,Switzerland,Lugano,00:16:47,N123GM,Mooney M20T,35.3 Km
EGLA,Bodmin,United Kingdom,Bodmin,EGHD,Plymouth,United Kingdom,Plymouth,00:21:30,G-BAFM,Cessna C172,40.7 Km
EGBO,Wolverhampton,United Kingdom,Wolverhampton,EGBL,Long Marsden Airfield,United Kingdom,Long Marsden,00:31:46,G-GMON,Cessna C172,130.3 Km
EGAB,St Angelo,United Kingdom,Enniskillen,EGOY,West Freugh,United Kingdom,West Freugh,01:17:42,G-MONN,Cessna C172,242.5 Km
EGUY,Wyton,United Kingdom,Wyton,EGUY,Wyton,United Kingdom,Wyton,00:06:51,G-MONN,Cessna C172,0 Km
EGFA,Aberporth,United Kingdom,Aberporth,EGFP,Pembrey,United Kingdom,Pembrey,00:31:24,G-BAFM,Cessna C172,47.7 Km
KJFK,Kennedy Intl,United States,New York,KJFK,Kennedy Intl,United States,New York,00:07:01,G-MONN,Cessna C172,0 Km
KMVY,Marthas Vineyard,United States,Vineyard Haven,KJFK,Kennedy Intl,United States,New York,01:40:58,G-BAFM,Cessna C172,279.7 Km
KORD,Chicago-OHare Intl,United States,Chicago,3HO,Hobart-Sky Ranch,United States,Hobart,00:53:30,G-MONN,Cessna C172,95.1 Km
LFBI,Biard,France,Poitiers,LFLL,Saint Exupery,France,Lyon,01:07:40,,BOEING B752,381 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGMC,Southend,United Kingdom,Southend,00:18:08,G-BAFM,Cessna C172,38.6 Km
EGGD,Bristol,United Kingdom,Bristol,EGTG,Filton,United Kingdom,Bristol,00:18:54,N195KT,Mooney M20T,17.6 Km
EGKK,Gatwick,United Kingdom,London,EGKK,Gatwick,United Kingdom,London,00:09:59,,BOEING B752,0 Km
EGKK,Gatwick,United Kingdom,London,LIRF,Fiumicino,Italy,Rome,02:37:04,,BOEING B752,1407.2 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGKB,Biggin Hill,United Kingdom,Biggin Hill,00:18:57,G-BAFM,Cessna C172,37.1 Km
EGDX,St Athan AB,United Kingdom,St Athan,EGDX,St Athan AB,United Kingdom,St Athan,00:11:54,G-BAFM,Cessna C172,0 Km
EGKK,Gatwick,United Kingdom,London,LPMA,Madeira,Portugal,Madeira,04:29:45,C-WLPE,BOEING B763,2456.1 Km
EGDY,Yeovilton,United Kingdom,Yeovilton,EGHH,Bournemouth,United Kingdom,Bournemouth,00:45:01,G-BAFM,Cessna C172,61.6 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGLC,London City,United Kingdom,London,00:18:38,G-BAFM,Cessna C172,18.1 Km
EGGD,Bristol,United Kingdom,Bristol,EGFF,Cardiff,United Kingdom,Cardiff,00:35:38,G-BAFM,Cessna C172,43.5 Km
EGLC,London City,United Kingdom,London,EGLL,Heathrow,United Kingdom,London,00:16:47,G-BAFM,Cessna C172,36 Km
EGKK,Gatwick,United Kingdom,London,EHAM,Schiphol,Netherlands,Amsterdam,01:52:48,N738PM,BOEING B738,365.7 Km
EGKK,Gatwick,United Kingdom,London,EHAM,Schiphol,Netherlands,Amsterdam,01:31:02,N738PM,BOEING B738,365.7 Km
LOWS,Salzburg,Austria,Salzburg,LOWI,Innsbruck,Austria,Innsbruck,01:11:27,N195KT,Mooney M20T,138.4 Km
EGKK,Gatwick,United Kingdom,London,EHAM,Schiphol,Netherlands,Amsterdam,01:36:07,N738PM,BOEING B738,365.7 Km
EGDP,RNAS Portland Heliport,United Kingdom,Portland,EGDP,RNAS Portland Heliport,United Kingdom,Portland,00:26:53,,Ultralight trike,0 Km
EGKK,Gatwick,United Kingdom,London,EHAM,Schiphol,Netherlands,Amsterdam,01:12:03,N738PM,BOEING B738,365.7 Km
EDDK,Cologne-Bonn,Germany,Cologne-Bonn,EGKK,Gatwick,United Kingdom,London,01:20:42,N78285,BOEING B738,515.4 Km
EGKK,Gatwick,United Kingdom,London,EHAM,Schiphol,Netherlands,Amsterdam,01:22:50,N738PM,BOEING B738,365.7 Km
EDNY,Friedrichshafen,Germany,Friedrichshafen,LSZR,Altenrhein,Switzerland,St Gallen,00:15:05,N176CM,Cessna C172,21.1 Km
EGKK,Gatwick,United Kingdom,London,EHAM,Schiphol,Netherlands,Amsterdam,01:22:19,N738PM,BOEING B738,365.7 Km
EHAM,Schiphol,Netherlands,Amsterdam,EGBB,Birmingham,United Kingdom,Birmingham,01:12:54,PH-BXS,BOEING B739,443.6 Km
EHAM,Schiphol,Netherlands,Amsterdam,EGBB,Birmingham,United Kingdom,Birmingham,01:13:05,N738PM,BOEING B738,443.6 Km
LFML,Marseille-Provence,France,Marseille-Provence,LSGG,Geneva,Switzerland,Geneva,01:09:13,N737W,BOEING B738,319.3 Km
KIAH,George Bush Intercontinental-H,United States,Houston,KLAX,Los Angeles Intl,United States,Los Angeles,05:38:39,N738PM,BOEING B738,2219.2 Km
KBOS,Logan Intl,United States,Boston,KJFK,Kennedy Intl,United States,New York,01:43:59,N738PM,BOEING B738,300.4 Km
KBOS,Logan Intl,United States,Boston,KOWD,Norwood Meml,United States,Norwood,00:41:00,G-MONN,Cessna C172,23.8 Km
KBOS,Logan Intl,United States,Boston,KBOS,Logan Intl,United States,Boston,00:21:43,N738PM,BOEING B738,0 Km
EGKK,Gatwick,United Kingdom,London,EGBB,Birmingham,United Kingdom,Birmingham,01:03:05,N738PM,BOEING B738,180.8 Km
KMSP,Minneapolis-St Paul Intl,United States,Minneapolis,KMSP,Minneapolis-St Paul Intl,United States,Minneapolis,00:10:05,N72163,MAULE M7,0 Km
EGKK,Gatwick,United Kingdom,London,EHAM,Schiphol,Netherlands,Amsterdam,01:31:09,N738PM,BOEING B738,365.7 Km
EGSS,Stansted,United Kingdom,London,EGSG,Stapleford,United Kingdom,Stapleford,00:18:53,N208LN,Cessna C208,26.1 Km
EGKK,Gatwick,United Kingdom,London,EGKK,Gatwick,United Kingdom,London,00:14:05,N738PM,BOEING B738,0 Km
EGKK,Gatwick,United Kingdom,London,EKCH,Kastrup,Denmark,Copenhagen,01:45:23,N738PM,BOEING B738,986.8 Km
KSFO,San Francisco Intl,United States,San Francisco,KSFO,San Francisco Intl,United States,San Francisco,00:21:10,N738PM,BOEING B738,0 Km
EDDL,Dusseldorf,Germany,Dusseldorf,EDDL,Dusseldorf,Germany,Dusseldorf,00:19:47,N738PM,BOEING B738,0 Km
KSFO,San Francisco Intl,United States,San Francisco,KSFO,San Francisco Intl,United States,San Francisco,00:07:41,N81868,MAULE M7,0 Km
KFHR,Friday Harbor,United States,Friday Harbor,KFHR,Friday Harbor,United States,Friday Harbor,00:17:12,G-MONN,Cessna C172,0 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGDD,Bicester Airfield,United Kingdom,Bicester,00:21:40,G-BAFM,Cessna C172,93.6 Km
EGSS,Stansted,United Kingdom,London,EGSX,North Weald,United Kingdom,North Weald,00:14:18,N700MS,Cessna C172,19.2 Km
KCMI,Univ Of Illinois-Willard,United States,Champaign-Urbana,KGYY,Gary-Chicago Intl,United States,Gary,01:17:49,N738PM,BOEING B738,189.7 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGLL,Heathrow,United Kingdom,London,00:33:32,N583,BEECH BE58,47.2 Km
EGPF,Glasgow,United Kingdom,Glasgow,EGPH,Edinburgh,United Kingdom,Edinburgh,00:23:29,I-HKSN,AIRBUS A321,66.9 Km
EGPH,Edinburgh,United Kingdom,Edinburgh,EGPH,Edinburgh,United Kingdom,Edinburgh,00:27:40,I-HKSN,AIRBUS A321,0 Km
EGBE,Coventry,United Kingdom,Coventry,EGLL,Heathrow,United Kingdom,London,01:11:24,G-BAFM,Cessna C172,121.5 Km
EGKA,Shoreham,United Kingdom,Shoreham,EGKB,Biggin Hill,United Kingdom,Biggin Hill,00:30:20,N208EH,Cessna C208,59.8 Km
NZCH,Christchurch Intl,New Zealand,Christchurch,NZWG,Wigram,New Zealand,Christchurch,00:15:10,G-BAFM,Cessna C172,7 Km
NZCH,Christchurch Intl,New Zealand,Christchurch,NZWG,Wigram,New Zealand,Christchurch,00:11:07,G-BAFM,Cessna C172,7 Km
NZMR,Murchison,New Zealand,Murchison,NZMR,Murchison,New Zealand,Murchison,00:22:02,ZK-GBH,JetRanger helicopter,0 Km
KJFK,Kennedy Intl,United States,New York,KJFK,Kennedy Intl,United States,New York,00:06:01,,Ultralight trike,0 Km
EDDM,Munich,Germany,Munich,EDNX,Oberschleissheim,Germany,Oberschleissheim,00:13:34,N6092U,Robinson R22,21.1 Km
EDNX,Oberschleissheim,Germany,Oberschleissheim,EDDM,Munich,Germany,Munich,00:16:57,N700MS,Cessna C172,21.1 Km
EGKK,Gatwick,United Kingdom,London,EHAM,Schiphol,Netherlands,Amsterdam,01:03:56,N738PM,BOEING B738,365.7 Km
KIAH,George Bush Intercontinental-H,United States,Houston,KLAX,Los Angeles Intl,United States,Los Angeles,05:15:24,N738PM,BOEING B738,2219.2 Km
EGTF,Fairoaks,United Kingdom,Fairoaks,EGHR,Goodwood,United Kingdom,Chichester,00:33:51,N583,BEECH BE58,56.1 Km
EGTF,Fairoaks,United Kingdom,Fairoaks,EGHR,Goodwood,United Kingdom,Chichester,00:41:37,N583,BEECH BE58,56.1 Km
KHTH,Hawthorne Industrial,United States,Hawthorne,KHTH,Hawthorne Industrial,United States,Hawthorne,00:08:03,N099,AGUSTA EH10,0 Km
PASI,Sitka Rocky Gutierrez,United States,Sitka,PASI,Sitka Rocky Gutierrez,United States,Sitka,00:10:45,N176CM,Cessna C172,0 Km
EGHP,Popham,United Kingdom,Popham,EGHH,Bournemouth,United Kingdom,Bournemouth,00:34:50,N123GM,Mooney M20T,79.7 Km
EGKK,Gatwick,United Kingdom,London,EGKK,Gatwick,United Kingdom,London,00:11:04,N738PM,BOEING B738,0 Km
EGKK,Gatwick,United Kingdom,London,EHAM,Schiphol,Netherlands,Amsterdam,01:24:07,N738PM,BOEING B738,365.7 Km
EDRY,Speyer,Germany,Speyer,EDFM,Mannheim City,Germany,Mannheim,00:21:04,N834JR,JetRanger helicopter,19.2 Km
LOWI,Innsbruck,Austria,Innsbruck,EGLL,Heathrow,United Kingdom,London,02:07:49,N738PM,BOEING B738,975.6 Km
KDEN,Denver Intl,United States,Denver,KSAN,San Diego Intl,United States,San Diego,02:23:51,N738PM,BOEING B738,1372.4 Km
EGCC,Manchester,United Kingdom,Manchester,EIDW,Dublin Intl,Ireland,Dublin,00:51:01,N738PM,BOEING B738,265.9 Km
EGKK,Gatwick,United Kingdom,London,EKCH,Kastrup,Denmark,Copenhagen,01:50:43,N738PM,BOEING B738,986.8 Km
EGKK,Gatwick,United Kingdom,London,EHAM,Schiphol,Netherlands,Amsterdam,01:17:36,N738PM,BOEING B738,365.7 Km
EHAM,Schiphol,Netherlands,Amsterdam,LFPG,Charles-de-Gaulle,France,Paris,01:41:26,N738PM,BOEING B738,398.9 Km
KATL,Hartsfield - Jackson Atlanta I,United States,Atlanta,KJFK,Kennedy Intl,United States,New York,03:10:01,N738PM,BOEING B738,1222.5 Km
EGKK,Gatwick,United Kingdom,London,EHAM,Schiphol,Netherlands,Amsterdam,01:37:24,N738PM,BOEING B738,365.7 Km
EGPE,Inverness,United Kingdom,Inverness,EGPC,Wick,United Kingdom,Wick,00:51:54,N123GM,Mooney M20T,116.9 Km
EGGD,Bristol,United Kingdom,Bristol,LIRP,San Giusto,Italy,Pisa,02:22:04,N738PM,BOEING B738,1303.4 Km
LIRP,San Giusto,Italy,Pisa,LIRP,San Giusto,Italy,Pisa,00:06:32,N834JR,JetRanger helicopter,0 Km
LIRQ,Peretola,Italy,Florence,LIRQ,Peretola,Italy,Florence,00:06:14,N834JR,JetRanger helicopter,0 Km
LIRP,San Giusto,Italy,Pisa,EGGD,Bristol,United Kingdom,Bristol,02:22:01,N738PM,BOEING B738,1303.4 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGFF,Cardiff,United Kingdom,Cardiff,01:11:16,N1000B,Mooney M20T,244.6 Km
EGNX,East Midlands,United Kingdom,Nottingham,EGGP,Liverpool,United Kingdom,Liverpool,00:40:16,N350KA,BEECH B350,116.2 Km
LFML,Marseille-Provence,France,Marseille-Provence,LSGG,Geneva,Switzerland,Geneva,00:53:29,N737W,BOEING B738,319.3 Km
KPHX,Phoenix Sky Harbor Intl,United States,Phoenix,KSFO,San Francisco Intl,United States,San Francisco,01:56:11,N738PM,BOEING B738,1047.5 Km
EGKA,Shoreham,United Kingdom,Shoreham,EGSG,Stapleford,United Kingdom,Stapleford,00:40:40,N760PL,Cessna C172,96.8 Km
EGGD,Bristol,United Kingdom,Bristol,EGTE,Exeter,United Kingdom,Exeter,00:56:54,N195KT,Mooney M20T,87 Km
EGDC,Chivenor,United Kingdom,Chivenor,EGDC,Chivenor,United Kingdom,Chivenor,00:22:38,N332,AGUSTA EH10,0 Km
S31,Lopez Island,United States,Lopez,S31,Lopez Island,United States,Lopez,00:13:18,N332,AGUSTA EH10,0 Km
EGPH,Edinburgh,United Kingdom,Edinburgh,EGLL,Heathrow,United Kingdom,London,02:05:20,N738PM,BOEING B738,533.6 Km
EGTP,Perranporth,United Kingdom,Perranporth,EGTP,Perranporth,United Kingdom,Perranporth,00:11:57,N176CM,Cessna C172,12.8 Km
EGPF,Glasgow,United Kingdom,Glasgow,EGPG,Cumbernauld,United Kingdom,Cumbernauld,00:35:31,N8092U,Robinson R22,30.8 Km
